Year,Cyclonic Disturbances - TOTAL,d=x-u,d^2,,,,,mean,12.31007752,12.31007752,sum of d^2,sum/n,sqrt,mean of sample 100
1891,13,0.689922481,0.475993029,,,,,,,12.31007752,1298.436512,12.98436512,3.603382456,13.18
1892,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1893,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1894,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1895,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1896,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1897,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1898,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1899,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
1900,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1901,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
1902,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1903,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1904,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1905,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1906,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1907,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1908,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1909,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1910,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
1911,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
1912,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1913,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1914,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1915,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1916,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1917,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1918,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1919,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1920,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1921,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1922,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1923,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1924,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1925,20,7.689922481,59.13490776,,,,,,,12.31007752,,,,
1926,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1927,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1928,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1929,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1930,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1931,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1932,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1933,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1934,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1935,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1936,17,4.689922481,21.99537287,,,,,,,12.31007752,,,,
1937,19,6.689922481,44.7550628,,,,,,,12.31007752,,,,
1938,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1939,19,6.689922481,44.7550628,,,,,,,12.31007752,,,,
1940,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1941,19,6.689922481,44.7550628,,,,,,,12.31007752,,,,
1942,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1943,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1944,19,6.689922481,44.7550628,,,,,,,12.31007752,,,,
1945,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1946,17,4.689922481,21.99537287,,,,,,,12.31007752,,,,
1947,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1948,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1949,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1950,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1951,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1952,17,4.689922481,21.99537287,,,,,,,12.31007752,,,,
1953,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1954,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1955,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1956,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1957,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
1958,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1959,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1960,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1961,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1962,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1963,17,4.689922481,21.99537287,,,,,,,12.31007752,,,,
1964,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1965,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1966,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1967,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1968,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1969,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1970,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1971,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1972,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1973,16,3.689922481,13.61552791,,,,,,,12.31007752,,,,
1974,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1975,20,7.689922481,59.13490776,,,,,,,12.31007752,,,,
1976,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1977,18,5.689922481,32.37521784,,,,,,,12.31007752,,,,
1978,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1979,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1980,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
1981,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1982,20,7.689922481,59.13490776,,,,,,,12.31007752,,,,
1983,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1984,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
1985,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1986,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1987,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1988,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1989,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1990,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1991,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1992,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1993,5,-7.310077519,53.43723334,,,,,,,12.31007752,,,,
1994,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1995,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1996,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1997,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1998,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1999,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
2000,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
2001,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
2002,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
2003,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
2004,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2005,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2006,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2007,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2008,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2009,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2010,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2011,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2012,5,-7.310077519,53.43723334,,,,,,,12.31007752,,,,
2013,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2014,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2015,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2016,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2017,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2018,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
2019,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
